date=2026-05-21, e20=48.3412%, u2=18, d2=7, w10=3, universe=211
date=2026-05-20, e20=44.5498%, u2=14, d2=4, w10=4, universe=211
date=2026-05-19, e20=45.0237%, u2=25, d2=3, w10=7, universe=211
date=2026-05-18, e20=37.9147%, u2=9, d2=27, w10=3, universe=211
date=2026-05-15, e20=45.4976%, u2=14, d2=13, w10=4, universe=211
date=2026-05-14, e20=50.237%, u2=30, d2=8, w10=3, universe=211
date=2026-05-13, e20=42.1801%, u2=31, d2=7, w10=2, universe=211
date=2026-05-12, e20=31.7536%, u2=4, d2=76, w10=3, universe=211
date=2026-05-11, e20=59.7156%, u2=13, d2=44, w10=5, universe=211
date=2026-05-08, e20=75.3555%, u2=15, d2=10, w10=14, universe=211
date=2026-05-07, e20=80.5687%, u2=26, d2=6, w10=5, universe=211
date=2026-05-06, e20=82.9384%, u2=70, d2=5, w10=6, universe=211
date=2026-05-05, e20=64.455%, u2=18, d2=5, w10=3, universe=211
date=2026-05-04, e20=67.2986%, u2=24, d2=9, w10=7, universe=211
date=2026-04-30, e20=62.0853%, u2=5, d2=30, w10=2, universe=211
date=2026-04-29, e20=73.9336%, u2=18, d2=13, w10=3, universe=211
date=2026-04-28, e20=72.9858%, u2=18, d2=14, w10=4, universe=211
date=2026-04-27, e20=79.6209%, u2=44, d2=2, w10=5, universe=211
date=2026-04-24, e20=72.9858%, u2=5, d2=26, w10=5, universe=211
date=2026-04-23, e20=79.1469%, u2=12, d2=24, w10=11, universe=211
date=2026-04-22, e20=85.782%, u2=29, d2=14, w10=16, universe=211
date=2026-04-21, e20=89.5735%, u2=25, d2=3, w10=19, universe=211
date=2026-04-20, e20=92.891%, u2=10, d2=4, w10=10, universe=211
date=2026-04-17, e20=94.7867%, u2=38, d2=3, w10=20, universe=211
date=2026-04-16, e20=90.0474%, u2=28, d2=3, w10=15, universe=211
date=2026-04-15, e20=92.891%, u2=81, d2=3, w10=48, universe=211
date=2026-04-13, e20=80.0948%, u2=11, d2=20, w10=22, universe=211
date=2026-04-10, e20=86.2559%, u2=38, d2=5, w10=60, universe=211
date=2026-04-09, e20=78.1991%, u2=11, d2=6, w10=33, universe=211
date=2026-04-08, e20=79.6209%, u2=132, d2=4, w10=94, universe=211
date=2026-04-07, e20=36.019%, u2=20, d2=6, w10=7, universe=211
date=2026-04-06, e20=32.7014%, u2=45, d2=1, w10=4, universe=211
date=2026-04-02, e20=18.4834%, u2=10, d2=11, w10=2, universe=211
date=2026-04-01, e20=13.7441%, u2=38, d2=6, w10=4, universe=211
date=2026-03-30, e20=6.1611%, u2=3, d2=82, w10=0, universe=211
date=2026-03-27, e20=10.9005%, u2=2, d2=75, w10=0, universe=211
date=2026-03-25, e20=25.5924%, u2=67, d2=0, w10=0, universe=211
date=2026-03-24, e20=8.0569%, u2=48, d2=1, w10=0, universe=211
date=2026-03-23, e20=3.7915%, u2=0, d2=97, w10=0, universe=211
date=2026-03-20, e20=13.7441%, u2=39, d2=8, w10=2, universe=211
date=2026-03-19, e20=7.5829%, u2=0, d2=71, w10=1, universe=211
date=2026-03-18, e20=21.327%, u2=54, d2=3, w10=3, universe=211
