date=2026-05-22, mr20=57.3844%, u4=46, d4=19, w20=21, universe=887
date=2026-05-21, mr20=56.5953%, u4=66, d4=6, w20=20, universe=887
date=2026-05-20, mr20=52.5366%, u4=62, d4=7, w20=13, universe=887
date=2026-05-19, mr20=49.7182%, u4=77, d4=7, w20=9, universe=887
date=2026-05-18, mr20=40.8117%, u4=39, d4=45, w20=5, universe=887
date=2026-05-15, mr20=50.1691%, u4=47, d4=19, w20=4, universe=887
date=2026-05-14, mr20=54.955%, u4=44, d4=20, w20=2, universe=888
date=2026-05-13, mr20=53.1532%, u4=62, d4=13, w20=10, universe=888
date=2026-05-12, mr20=46.509%, u4=17, d4=131, w20=7, universe=888
date=2026-05-11, mr20=72.8909%, u4=40, d4=42, w20=18, universe=889
date=2026-05-08, mr20=84.4769%, u4=54, d4=13, w20=32, universe=889
date=2026-05-07, mr20=89.1892%, u4=92, d4=5, w20=16, universe=888
date=2026-05-06, mr20=86.8243%, u4=123, d4=12, w20=13, universe=888
date=2026-05-05, mr20=76.8884%, u4=42, d4=15, w20=9, universe=887
date=2026-05-04, mr20=80.4054%, u4=91, d4=14, w20=16, universe=888
date=2026-04-30, mr20=75.6483%, u4=24, d4=19, w20=6, universe=887
date=2026-04-29, mr20=82.4126%, u4=42, d4=10, w20=7, universe=887
date=2026-04-28, mr20=82.7508%, u4=41, d4=8, w20=12, universe=887
date=2026-04-27, mr20=87.9505%, u4=134, d4=0, w20=16, universe=888
date=2026-04-24, mr20=79.3687%, u4=15, d4=41, w20=10, universe=887
date=2026-04-23, mr20=88.1623%, u4=49, d4=15, w20=13, universe=887
date=2026-04-22, mr20=92.1082%, u4=81, d4=13, w20=13, universe=887
date=2026-04-21, mr20=93.3484%, u4=64, d4=5, w20=14, universe=887
date=2026-04-20, mr20=94.1243%, u4=38, d4=8, w20=14, universe=885
date=2026-04-17, mr20=95.8145%, u4=85, d4=1, w20=29, universe=884
date=2026-04-16, mr20=93.3258%, u4=69, d4=2, w20=24, universe=884
date=2026-04-15, mr20=94.0045%, u4=171, d4=3, w20=55, universe=884
date=2026-04-13, mr20=85.1977%, u4=32, d4=11, w20=33, universe=885
date=2026-04-10, mr20=89.4796%, u4=99, d4=3, w20=39, universe=884
